event_id,label_version,asset_class,symbol,name,t_start,t0,Wd,collapse_stratum,gate_A_catalyst,gate_B_gain,gate_D_verdict,gray_zone,enforcement_status,pcr_ms_fit,evidence_url,observed_at,notes
kr_stock-2017-esmo,v0.2,kr_stock,에스모(자율주행 테마 코스닥); 6자리 코드 uncertain,"에스모(舊 신화디앤티) 무자본 M&A 시세조종·사기적 부정거래 사건 (서울남부지법 2020고합177 병합, 유죄 확정)",2017-06-08,2017-08 ~ 2018-03 (무자본 인수·주가부양). R조합 통한 지분 69.67% 인수 결정 2017-06-08,20,collapsed,"무자본 M&A로 경영권 인수 후 자율주행·전기차 테마 허위·과장 보도자료(해외기업 업무협약 허위 등), 300억 전환사채(CB)+200억 제3자배정 유상증자, 페이퍼컴퍼니 증권계좌 통한 시세조종성 주문(총 1,626회/681,113주). 라임 펀드 자금 투입·횡령 연루",,,false,"REG-ENF 충족(유죄 확정). 전 대표(익명화) 대법원 확정 징역 5년+벌금 3억원(자본시장법위반·특경법 횡령 등). 실질 주도자(기업사냥꾼) 1심 징역 20년·벌금 300억원(2022-09-29), 검찰 항소. 1심 서울남부지법 2020고합177→항소심 서울고법 2021노345→대법원 2021도11110 확정. 부당이득 약 577억원(루트원 보유 약 1,584만주를 라임 펀드에 약 787억원 매도)","yes — Gate A(테마성 허위공시·보도자료), B(급등 정황, 수치 uncertain), D(펀더 무근거·CB차익), 붕괴 층화(상폐 위험). REG-ENF 앵커(형사 유죄 확정)",https://www.law.go.kr/LSW/precInfoP.do?precSeq=220037&mode=0,2026-07-01,에스모 케이스 카드와 '서울남부지법 2020고합177' 케이스 카드는 동일 사건군(동일 주도자·R조합·지분 69.67%·law.go.kr precSeq=220037)으로 통합. 형량은 두 피고인(전 대표 5년·벌금3억 vs 주도자 20년·벌금300억) 구분 필요. 부당이득 표기 편차(557/570/577억). peak_gain·정확 종목코드 uncertain. 개인 익명화('주도자')
kr_stock-2019-sangsangin,v0.2,kr_stock,상상인(코스닥 038540) 및 저축은행 담보대출 CB 발행사 다수; 각 발행사 코드 uncertain,상상인그룹 대표 자본시장법 위반(사기적 부정거래·CB 담보 미공시) 사건,2015-04,미공시 범행 시기 약 2015-04 ~ 2018-12. 1심 선고 2025-02-18,20,censored,"CB 발행사가 저축은행 담보대출에 의존했음에도 담보 제공 사실 미공시(사기적 부정거래), 미공개정보 이용 단타(약 50억원 시세차익), 지주 자사주 매입 관련 주문",,,false,"REG-ENF 부분 충족(부정거래·허위공시 유죄). 서울중앙지법 1심(2025-02-18) 징역 4년·벌금 약 185억4900만원(법정구속 회피). 자사주 관련 시세조종·배임 일부 무죄. 검찰 징역 9년 구형, 항소 진행(as-of 2026-07 미확정)","partial — 사기적 부정거래(CB 담보 미공시)·허위공시는 Gate A/D 부합, 시세조종(Gate B) 1심 무죄로 미충족. REG-ENF는 부정거래 부분 충족",https://www.lawtimes.co.kr/news/205712,2026-07-01,순수 시세조종 아닌 CB 관련 사기적 부정거래 사례. 시세조종 1심 무죄. 개인 익명화 권장. 항소심 미확정. peak_gain uncertain
kr_stock-2023-sg-cfd,v0.2,kr_stock,다우데이타(032190)·삼천리(004690)·서울가스(017390)·대성홀딩스(016710)·하림지주(003380)·다올투자증권(030210)·선광(003100)·세방(004360) 등 8개 종목,SG증권발 주가폭락(라덕연 일당) CFD 이용 통정·가장매매 시세조종 사건,약 2020 (수년간 장기 매집),2023-04-24 (SG증권 창구 대량 매도로 8개 종목 동시 하한가 폭락). 매집·시세조종은 수년간 선행,20,collapsed,CFD(차액결제거래) 레버리지 + 다수 차명계좌를 통한 장기 저점 매집·통정매매로 인위적 우상향 유도(리딩·홍보 정황 포함). 뚜렷한 펀더멘털 호재 없음,,,false,"REG-ENF 충족(형사 유죄 취지, 파기환송 재심리 중). 1심(2025-02-13 서울남부지법) 징역 25년·벌금 약 1,465억원·추징 약 1,944억원 → 2심 CFD 혐의 무죄·이득 산정불가로 징역 8년·벌금 약 1,456억원·추징 1,815억원 대폭 감형 → 대법원 3부(2026-05-20) 유죄 취지 파기환송('CFD 등 장외파생 주문도 시세조종죄 성립'). 부당이득 약 7,305억원, 피해자 약 7.2만명·피해액 약 7,730억원, 시총 약 8조 증발","yes — A(리딩·홍보 정황, 실체 없는 수급 촉매), B(장기 인위적 급등 후 4거래일 연속 하한가), D(펀더 무근거), 붕괴 층화 명확. REG-ENF 앵커(형사 유죄 취지). CFD 통정·가장매매 유형",https://www.fnnews.com/news/202605201324486919,2026-07-01,"두 케이스 카드('SG증권발 주가폭락'+'SG증권발 하한가 사태')를 동일 사건으로 통합. 형량은 1심 25년/2심 8년 구분 필수. 파기환송으로 최종 확정 아님(as-of 2026-07). 종목별 최고 상승폭 uncertain. 개인 익명화. '단군 이래 최대 주가조작' 보도, CFD 규제 강화 계기"
kr_stock-2024-leniency-kosdaq,v0.2,kr_stock,코스닥 상장 가구회사(종목명 비공개); 코드 uncertain,코스닥 상장사(가구회사) 차명계좌 통정·가장매매 시세조종 — 리니언시 최초 적용 기소 사건,2024-12,시세조종 기간 2024-12 ~ 2025-04(집중 조작 2025-01-14 ~ 2025-04-18). 공소제기 2026-05-08,20,censored,"다수 차명 증권계좌·현금 약 30억원·대포폰 동원, 통정매매 265회·가장매매·고가매수주문 1,339회 등 시세조종성 주문. 저유통물량(최대주주 지분율 높음) 종목 선정. 외부 홍보 촉매는 보도상 불명확","약 +113% (2025-01-14 종가 1,926원 → 2025-02-24 장중 최고 4,105원, 41일)",,false,"기소 단계(유죄 미확정, REG-ENF 앵커 아님). 서울남부지검 총책급 3명 구속기소(+불구속 3, 약식 3, 총 9명). 부당이득 약 14억원, 자본시장법 위반. 대검 자진신고자 형벌감면(리니언시) 최초 적용 기반 수사","partial — B(통정·가장매매로 인위적 급등)·차명계좌 시세조종 요건 부합, REG-ENF 미충족(기소 단계, pending 의심 사례). A(외부 홍보 촉매) uncertain",https://www.fnnews.com/news/202605081412337413,2026-07-01,"두 케이스 카드('2026년 5월 공소제기 기소 사건'+'리니언시 최초 적용 사건')를 동일 사건으로 통합. 부당이득 14억원은 상승폭 아님. 리니언시 첫 적용 제도적 의미. 관련자에 전 대신증권 부장·현직 경찰(뇌물)·인플루언서 배우자 포함. 유죄 미확정 pending, 개인 익명화"
kr_stock-2024-political-theme,v0.2,kr_stock,정치테마주 종목군(A사 등 15개 내외); 개별 티커 uncertain,제22대 총선(2024) 정치테마주 풍문 유포 부정거래 (증선위 검찰 통보),약 2024-01 (총선 국면 사전 매집),"제22대 총선(2024-04-10) 국면. 증선위 제1차 정례회의 의결 2025-01-08, FSC 보도참고 2025-01-09",20,censored,전업투자자가 15개 종목 사전 매집 후 유력 정치인과의 인맥·지역 유사성 근거 풍문(예: '사외이사가 OOO과 페이스북 친구')을 주식 사이트 게시판 반복 게시 → 주가 상승 시 선취매 물량 매도 → 매도 직후 게시글 삭제. 펀더멘털 무근거 저품질 촉매,,,false,REG-ENF 충족(증선위 검찰 통보). 자본시장법 제178조 부정거래 금지 위반. 금융위/증선위 → 수사기관 통보. 2025-04-23부터 부당이득 과징금·거래제한 등 행정제재 병행 가능,"yes — Gate A(근거 없는 정치인 연관 풍문=저품질 촉매), D(펀더 무근거) 명확. REG-ENF 앵커(증선위 통보). B는 개별 종목 수치 uncertain, partial",https://www.fsc.go.kr/no010101/83828,2026-07-01,원 케이스가 2017 제19대 대선으로 오기재했으나 실제는 2024 제22대 총선 사건(정정 반영). 확인된 수법은 풍문 유포+선취매(원 '허수주문/spoofing' 서술은 출처 미확인으로 삭제). peak_gain uncertain. 개인 익명화
kr_stock-2019-shinlajen,v0.2,kr_stock,신라젠 (KOSDAQ 215600),신라젠 펙사벡 임상3상 무용성 평가·임상중단 전 대량매도(미공개정보 이용 의혹) 사건,2019-06,2019-08-01 (DMC 무용성 평가·임상3상 중단 권고 통보). 임원 매도 2019-06~07,20,collapsed,종양용해바이러스 면역항암제 '펙사벡' 임상3상 성공 기대 → 무용성 평가로 붕괴. 임상 실체는 존재(순수 저품질 홍보 단정 곤란),,,false,미공개정보 이용 혐의(전 임원 16만7777주 약 88억원 매도)는 2022-08 최종 무죄 확정 → 이 촉매 관련 REG-ENF 앵커 미충족. 별개로 전 대표(익명화)는 사기적 부정거래·특경법 배임 등 1심 징역 5년·벌금 350억·항소심 유죄(별개 행위·혐의). 회사는 2020-05-04 거래정지·2020-06 상장적격성 실질심사,partial — Gate A 바이오 기대 촉매로 부분 해당(임상 실체 존재로 저품질 홍보 단정 곤란). 붕괴(무용성 평가) 명확. 미공개정보 앵커 무죄로 미충족. '기대붕괴+정보비대칭' 유형,https://www.dailypharm.com,2026-07-01,"붕괴: 44,550원→15,300원 3거래일 연속 하한가, 3일 만에 시총 약 2/3 소멸. 2017년 말 시총 10조·코스닥 2위. 미공개정보 혐의 무죄를 사실 중립 명기. 전 대표 유죄는 별개 t0. peak 상승률 자체 uncertain. 개인 익명화. source_url은 대표 출처(daily pharm 등 다수 언론 교차확인)"
kr_stock-2022-notus-bonus,v0.2,kr_stock,노터스 (KOSDAQ 278650),노터스 무상증자(1:8) 권리락 착시 연속 상한가·급락 사건,2022-05-09,2022-05-31 (권리락일). 무상증자 공시 2022-05-09,20,collapsed,1주당 8주 배정 무상증자 → 권리락으로 명목 주가가 낮아 보이는 착시효과. 외부 자본유입·기업가치 변동 없음(금감원 경고),"6거래일 연속 상한가로 종가 37,050원(권리락 기준가 7,730원 대비 약 +379%); 기간 최고가 43,950원(6/13, 약 +468%). 이후 -83.5%(보도상 최대 86%+ 폭락)",,false,"REG-ENF 충족(거래소 공식 제재). 한국거래소 투자경고종목 지정예고(6/3)·지정(6/7), 거래 과열로 6/10 1일 매매거래정지. 금감원 무상증자 관련 투자자 유의사항(2022-07-25경). 개별 시세조종 형사제재는 미확인(uncertain)","yes(부분) — Gate A(무상증자 착시=펀더 무근거 저품질 촉매), D(실질 가치 변동 없음), B(+468%), 붕괴(-83.5%) 명확. REG-ENF는 거래소 투자경고+거래정지로 충족(형사는 미확인)",https://www.hankyung.com/article/2022060903831,2026-07-01,"원 케이스가 '6연상 도달가(37,050)'와 '기간 최고가(43,950)'를 혼동해 +468%를 6연상 결과로 기재 → 분리 정정. REG-ENF는 partial 아니라 충족(거래소 제재 존재). 동시기 유사: 조광ILI·공구우먼·케이옥션·실리콘투. 투자자문 아님"
kr_stock-2022-jokwang-bonus,v0.2,kr_stock,조광ILI (KOSDAQ 044060),조광ILI 무상증자(1:5) 권리락 효과 연속 상한가(3연상) 사건,2022-07-14,권리락 착시 구간 2022-07-14~. 신주배정기준일 2022-07-15,20,collapsed,1:5 무상증자 권리락 효과. 명목 주가 하락에 따른 할인 착시로 매수세 유입. 실질 가치변동 없음,3거래일 연속 상한가(3연상). 이후 최고가 대비 -64.9%,,false,REG-ENF 시장경보 수준(개별 형사·행정 제재 아님). 금감원 2022-07-25 보도자료(무상증자 권리락 착시 투자자 유의사항)라는 시장 전반 투자경보. 노터스와 병렬 사례,"partial — Gate A/D(무상증자 착시, 실질 가치변동 없음), 붕괴(-64.9%) 명확, B는 3연상 partial. REG-ENF는 시장경보 수준(개별 제재 미확인)",https://www.etoday.co.kr/news/view/2154466,2026-07-01,노터스와 동일 2022년 무상증자 착시 테마 병렬 사례. 개별 시세조종 확정 아님 — 시장 착시·군중심리 유형. 사실 중립 기술. 투자자문 아님
kr_stock-2020-scarcity-rotation,v0.2,kr_stock,품절주 종목군(대표: 코데즈컴바인·전방·신라섬유 2020.6 섬유업종); 개별 티커 일부 특정 가능,품절주(유통주식수 극소 종목) 순환매 이상급등 및 거래소 거래정지·시장경보 조치,2020-06,2020년 우선주 광풍 이후 순환매 국면(대표 2020-06-19경 코데즈컴바인·신라섬유·전방 등 급등),20,censored,최대주주·자사주 비중이 높아 유통주식수가 극히 적은 '품절주' 특성. 소량 수급으로 단기 급변 → 순환매 테마. 펀더멘털 무관 수급 촉매,,,false,REG-ENF 충족(거래소 공식 조치). 유통가능주식수가 총발행주식수 2%(코스피 1%)·최소 10만주 미달 시 매매거래정지. 시장경보 3단계(투자주의→투자경고→투자위험). 위탁증거금 100% 규정은 2020~2025 당시 기준(2026-04-24 개정으로 경고·위험 종목에서 면제 예고),"partial — Gate A(수급 착시·저유동성 테마, 펀더 무근거)·D 해당, B(단기 이상급등)·붕괴(순환매 소진 후 급락) partial. REG-ENF는 거래소 거래정지·시장경보로 충족(시세조종 형사제재는 종목별 uncertain)",https://www.sedaily.com/NewsVIew/1Z437N6EHN,2026-07-01,'품절주 순환매' 현상·거래소 제도 대응 사실 중립 기술. 유통주식수 희소성이 수급 조작 취약성 만드는 구조적 사례. 위탁증거금 100% 규정 시점(2026 개정) 주의. 개별 최고 상승폭 uncertain
kr_stock-2023-youngpoong,v0.2,kr_stock,"영풍제지(006740), 대양금속(009190)",영풍제지·대양금속 주가조작 사태,2022-10,"2023-10-18 (하한가 시작); 7거래일 연속 하한가(~2023-11-02, 역대 최장)",20,collapsed,"사채자금·차명계좌 동원 장기 매집(2022-10~2023-10 약 1년, 330여개 증권계좌) + 가장·통정·고가매수·물량소진·시초/종가관여 총 227,448회 시세조종 주문(약 1억7,965만주 상당). 뚜렷한 실적 호재 부재","약 9배 (무상증자 수정주가 기준 연초 약 5,829원 → 2023-09 장중 최고 약 54,200원)",,false,"REG-ENF 충족(형사 구속·기소). 2023-11-03 서울남부지검 금융·증권범죄합동수사부가 대양금속 실소유주 등 일당 자본시장법 위반 혐의 구속, 공범 추가 구속·기소 확대. 부당이득 초기 추산 약 2,789억원 → 이후 약 6,616억원 상향. 반대매매가 급락 가속. 최종 판결 일부 uncertain","yes — A(차명·사채 동원 은밀 매집), B(약 9배 급등), D(펀더 무근거), 붕괴(역대 최장 7연속 하한가). REG-ENF(형사 기소·구속)",https://imnews.imbc.com/news/2023/society/article/6535079_36126.html,2026-07-01,"원 케이스의 '3,600만주/3만8천 차례'는 출처 불일치 → 227,448회/약1.8억주로 정정. 부당이득 2,789억(초기)→6,616억(상향) 병기. 상승폭 약 9배로 특정. 최종 4,000원대까지 급락. 개인 익명화"
